id,provider,study,soil,ecosystem,climate,maxtime
1,Literature,Bowden1998,Bowden1998_HF,Forest,Unknown,2
2,Cook,Cook_1985,Naike,Unknown,Unknown,
3,Cook,Cook_NotPub,FOXT_0-10,Grassland,Unknown,64
4,Cook,Cook_NotPub,HORO_0-10,Grassland,Unknown,64
5,Cook,Cook_NotPub,NETH_0-10,Grassland,Unknown,64
6,Curiel,Curiel_2007_GCB,BLOD_C_0-5,Forest,Mediterranean,108
7,Curiel,Curiel_2007_GCB,BLOD_T_0-5,Forest,Mediterranean,108
8,Curiel,Curiel_2007_GCB,TONZ_O_0-5,Grassland,Mediterranean,108
9,Curiel,Curiel_2007_GCB,TONZ_U_0-5,Grassland,Mediterranean,108
10,Don,DON_NotPub,KALT_10-20,Grassland,Temperate,32
11,Literature,Doran1990,Doran1990_WW,Unknown,Unknown,28
12,Literature,Doran1990,Doran1990_HB,Unknown,Unknown,28
13,Literature,Doran1990,Doran1990_Cr,Unknown,Unknown,28
14,Literature,Doran1990,Doran1990_Fr,Unknown,Unknown,28
15,Literature,Doran1990,Doran1990_Mi,Unknown,Unknown,28
16,Literature,Doran1990,Doran1990_Cl,Unknown,Unknown,28
17,Literature,Doran1990,Doran1990_FC,Unknown,Unknown,28
18,Literature,Doran1990,Doran1990_Mo,Unknown,Unknown,28
19,Literature,Doran1990,Doran1990_Va,Unknown,Unknown,28
20,Literature,Doran1990,Doran1990_Ce,Unknown,Unknown,28
21,Literature,Doran1990,Doran1990_Wa,Unknown,Unknown,28
22,Literature,Doran1990,Doran1990_KK,Unknown,Unknown,28
23,Epron,Epron_NotPub,EPRON_0-5,Forest,Unknown,0.02
24,Formanek,Formanek_NotPub,BILY_F,Forest,Temperate,1
25,Formanek,Formanek_NotPub,BILY_H,Forest,Temperate,1
26,Formanek,Formanek_NotPub,BILY_L,Forest,Temperate,1
27,Franzluebers,Franzluebers_1999,FARM_01,Grassland,Temperate,24
28,Franzluebers,Franzluebers_1999,FARM_02,Grassland,Temperate,24
29,Franzluebers,Franzluebers_1999,FARM_03,Grassland,Temperate,24
30,Franzluebers,Franzluebers_1999,FARM_04,Grassland,Temperate,24
31,Franzluebers,Franzluebers_1999,FARM_05,Grassland,Temperate,24
32,Franzluebers,Franzluebers_1999,FARM_06,Grassland,Temperate,24
33,Franzluebers,Franzluebers_1999,FARM_07,Grassland,Temperate,24
34,Franzluebers,Franzluebers_1999,FARM_08,Grassland,Temperate,24
35,Franzluebers,Franzluebers_1999,FARM_09,Grassland,Temperate,24
36,Franzluebers,Franzluebers_1999,FARM_10,Grassland,Temperate,24
37,Franzluebers,Franzluebers_1999,FARM_11,Grassland,Temperate,24
38,Franzluebers,Franzluebers_1999,FARM_12,Grassland,Temperate,24
39,Franzluebers,Franzluebers_1999,FARM_13,Grassland,Temperate,24
40,Franzluebers,Franzluebers_1999,FARM_14,Grassland,Temperate,24
41,Franzluebers,Franzluebers_1999,FARM_15,Grassland,Temperate,24
42,Franzluebers,Franzluebers_1999,FARM_01,Grassland,Temperate,24
43,Franzluebers,Franzluebers_1999,FARM_02,Grassland,Temperate,24
44,Franzluebers,Franzluebers_1999,FARM_03,Grassland,Temperate,24
45,Franzluebers,Franzluebers_1999,FARM_04,Grassland,Temperate,24
46,Franzluebers,Franzluebers_1999,FARM_05,Grassland,Temperate,24
47,Franzluebers,Franzluebers_1999,FARM_06,Grassland,Temperate,24
48,Franzluebers,Franzluebers_1999,FARM_07,Grassland,Temperate,24
49,Franzluebers,Franzluebers_1999,FARM_08,Grassland,Temperate,24
50,Franzluebers,Franzluebers_1999,FARM_09,Grassland,Temperate,24
51,Franzluebers,Franzluebers_1999,FARM_10,Grassland,Temperate,24
52,Franzluebers,Franzluebers_1999,FARM_11,Grassland,Temperate,24
53,Franzluebers,Franzluebers_1999,FARM_12,Grassland,Temperate,24
54,Franzluebers,Franzluebers_1999,FARM_13,Grassland,Temperate,24
55,Franzluebers,Franzluebers_1999,FARM_14,Grassland,Temperate,24
56,Franzluebers,Franzluebers_1999,FARM_15,Grassland,Temperate,24
