id,provider,study,soil,dataset,sample,ecosystem,climate,soil.t,mdw,mvol,mps,mwhc,mwplog,mwp,fun.mdw,fun.mvol,fun.mps,fun.mwhc,fun.mwplog,fun.mwplog.2,bd,c.org,ps,clay,silt,sand,whc,ph,n.org,CtoN,som,pd,min.rel,co2ac.dw,co2ac.om,co2.dw,co2.om,co2.20dw,co2.20om,no3,id.old
1,Literature,Bowden1998,Bowden1998_HF,Bowden1998_16,,Forest,Unknown,16,,0.152,,0.189,,,x,p3,x,p3,x,x,0.25,,,,,,3.22,3.3,,,,,0.369,,,3.593,,,,,3
1,Literature,Bowden1998,Bowden1998_HF,Bowden1998_16,,Forest,Unknown,16,,0.45,,0.559,,,x,p3,x,p3,x,x,0.25,,,,,,3.22,3.3,,,,,0.712,,,6.929,,,,,3
1,Literature,Bowden1998,Bowden1998_HF,Bowden1998_16,,Forest,Unknown,16,,0.623,,0.774,,,x,p3,x,p3,x,x,0.25,,,,,,3.22,3.3,,,,,1,,,9.73,,,,,3
1,Literature,Bowden1998,Bowden1998_HF,Bowden1998_20,,Forest,Unknown,20,,0.131,,0.162,,,x,p3,x,p3,x,x,0.25,,,,,,3.22,3.3,,,,,0.26,,,3.319,,,,,2
1,Literature,Bowden1998,Bowden1998_HF,Bowden1998_20,,Forest,Unknown,20,,0.485,,0.602,,,x,p3,x,p3,x,x,0.25,,,,,,3.22,3.3,,,,,0.88,,,11.239,,,,,2
1,Literature,Bowden1998,Bowden1998_HF,Bowden1998_20,,Forest,Unknown,20,,0.57,,0.708,,,x,p3,x,p3,x,x,0.25,,,,,,3.22,3.3,,,,,0.922,,,11.781,,,,,2
1,Literature,Bowden1998,Bowden1998_HF,Bowden1998_20,,Forest,Unknown,20,,0.715,,0.888,,,x,p3,x,p3,x,x,0.25,,,,,,3.22,3.3,,,,,1,,,12.777,,,,,2
1,Literature,Bowden1998,Bowden1998_HF,Bowden1998_25,,Forest,Unknown,25,,0.123,,0.152,,,x,p3,x,p3,x,x,0.25,,,,,,3.22,3.3,,,,,0.302,,,5.13,,,,,1
1,Literature,Bowden1998,Bowden1998_HF,Bowden1998_25,,Forest,Unknown,25,,0.472,,0.587,,,x,p3,x,p3,x,x,0.25,,,,,,3.22,3.3,,,,,1,,,16.996,,,,,1
1,Literature,Bowden1998,Bowden1998_HF,Bowden1998_25,,Forest,Unknown,25,,0.568,,0.705,,,x,p3,x,p3,x,x,0.25,,,,,,3.22,3.3,,,,,0.939,,,15.958,,,,,1
1,Literature,Bowden1998,Bowden1998_HF,Bowden1998_25,,Forest,Unknown,25,,0.716,,0.889,,,x,p3,x,p3,x,x,0.25,,,,,,3.22,3.3,,,,,0.888,,,15.097,,,,,1
1,Literature,Bowden1998,Bowden1998_HF,Bowden1998_25,,Forest,Unknown,25,,0.739,,0.918,,,x,p3,x,p3,x,x,0.25,,,,,,3.22,3.3,,,,,0.514,,,8.736,,,,,1
