"ref_id"	"soil_id"	"reference"	"soil"	"depth"	"ecosystem"	"climate"	"time"	"tmin"	"tmax"	"temp"	"q10"	"q10calc"	"corg"	"norg"	"clay"	"ph"	"substrate"
16	69	"Dalias et al. 2001"	"Dalias-WaldOh"	"NA"	"forest"	"temperate"	"NA"	23	30	"26.5"	1	"equal-C"	34	"1.07"	11	"3.5"	"N"
16	69	"Dalias et al. 2001"	"Dalias-WaldOh"	"NA"	"forest"	"temperate"	"NA"	16	23	"19.5"	2	"equal-C"	34	"1.07"	11	"3.5"	"N"
16	69	"Dalias et al. 2001"	"Dalias-WaldOh"	"NA"	"forest"	"temperate"	"NA"	4	10	7	3	"equal-C"	34	"1.07"	11	"3.5"	"N"
16	69	"Dalias et al. 2001"	"Dalias-WaldOh"	"NA"	"forest"	"temperate"	"NA"	10	16	13	"1.5"	"equal-C"	34	"1.07"	11	"3.5"	"N"
16	64	"Dalias et al. 2001"	"Dalias-Hald"	"NA"	"forest"	"temperate"	"NA"	16	23	"19.5"	"3.1"	"equal-C"	"5.7"	"0.38"	35	"4.9"	"N"
16	64	"Dalias et al. 2001"	"Dalias-Hald"	"NA"	"forest"	"temperate"	"NA"	10	16	13	"3.4"	"equal-C"	"5.7"	"0.38"	35	"4.9"	"N"
16	64	"Dalias et al. 2001"	"Dalias-Hald"	"NA"	"forest"	"temperate"	"NA"	23	30	"26.5"	"3.4"	"equal-C"	"5.7"	"0.38"	35	"4.9"	"N"
16	64	"Dalias et al. 2001"	"Dalias-Hald"	"NA"	"forest"	"temperate"	"NA"	4	10	7	"3.5"	"equal-C"	"5.7"	"0.38"	35	"4.9"	"N"
50	196	"Rey and Jarvis 2006"	"ROC_0-5_20y"	"NA"	"forest"	"temperate"	"NA"	4	30	17	"2.2"	"equal-C"	"3.85"	"0.26"	"31.42"	"4.1"	"N"
50	195	"Rey and Jarvis 2006"	"LOO_0-5"	"NA"	"forest"	"temperate"	"NA"	5	30	"17.5"	"2.6"	"equal-C"	"6.78"	"0.5"	"51.74"	"5.2"	"N"
16	65	"Dalias et al. 2001"	"Dalias-ThezA1"	"NA"	"forest"	"temperate"	"NA"	23	30	"26.5"	"1.3"	"equal-C"	"4.7"	"0.12"	"7.6"	"5.2"	"N"
16	65	"Dalias et al. 2001"	"Dalias-ThezA1"	"NA"	"forest"	"temperate"	"NA"	16	23	"19.5"	"1.9"	"equal-C"	"4.7"	"0.12"	"7.6"	"5.2"	"N"
16	65	"Dalias et al. 2001"	"Dalias-ThezA1"	"NA"	"forest"	"temperate"	"NA"	10	16	13	"2.8"	"equal-C"	"4.7"	"0.12"	"7.6"	"5.2"	"N"
16	65	"Dalias et al. 2001"	"Dalias-ThezA1"	"NA"	"forest"	"temperate"	"NA"	4	10	7	"3.8"	"equal-C"	"4.7"	"0.12"	"7.6"	"5.2"	"N"
26	98	"Grisi et al. 1998"	"VI"	"NA"	"grassland"	"temperate"	160	15	35	25	"1.4"	"equal-time"	"1.5"	"0.14"	8	"6.8"	"N"
26	95	"Grisi et al. 1998"	"III"	"NA"	"cultivated"	"warm"	160	15	35	25	"1.9"	"equal-time"	"0.95"	"0.1"	15	"6.4"	"N"
52	224	"Rodionow et al. 2006"	"P1"	"10 to 40"	"tundra"	"cold"	29	5	15	10	"2.176460052"	"equal-time"	"0.8"	"0.05"	18	"5.8"	"N"
26	97	"Grisi et al. 1998"	"V"	"NA"	"grassland"	"temperate"	160	15	35	25	"2.1"	"equal-time"	"2.86"	"0.27"	21	"6.9"	"N"
26	93	"Grisi et al. 1998"	"I"	"NA"	"forest"	"warm"	160	15	35	25	"2.2"	"equal-time"	"2.88"	"0.29"	22	"6.2"	"N"
52	224	"Rodionow et al. 2006"	"P1"	"0 to 10"	"tundra"	"cold"	29	5	15	10	"2.172415905"	"equal-time"	"3.6"	"0.14"	24	"5.5"	"N"
52	225	"Rodionow et al. 2006"	"P2"	"0 to 30"	"tundra"	"cold"	29	5	15	10	2	"equal-time"	3	"0.19"	28	"5.5"	"N"
28	105	"Hamdi et al. 2010"	"Hamdi-cult"	"NA"	"cultivated"	"warm"	56	40	50	45	"1.92"	"equal-time"	"2.2"	"NA"	36	"8.9"	"N"
28	105	"Hamdi et al. 2010"	"Hamdi-cult"	"NA"	"cultivated"	"warm"	56	20	30	25	"2.05"	"equal-time"	"2.2"	"NA"	36	"8.9"	"N"
28	105	"Hamdi et al. 2010"	"Hamdi-cult"	"NA"	"cultivated"	"warm"	56	30	40	35	"2.15"	"equal-time"	"2.2"	"NA"	36	"8.9"	"N"
26	96	"Grisi et al. 1998"	"IV"	"NA"	"cultivated"	"temperate"	160	15	35	25	"1.7"	"equal-time"	"4.09"	"0.34"	68	"8.2"	"N"
26	94	"Grisi et al. 1998"	"II"	"NA"	"cultivated"	"warm"	160	15	35	25	"1.9"	"equal-time"	"2.95"	"0.18"	82	"5.1"	"N"
52	223	"Rodionow et al. 2006"	"P0"	"0 to 10"	"grassland"	"temperate"	1	5	15	10	"2.520537533"	"equal-time"	"2.5"	"0.24"	"17.2"	"6.3"	"N"
62	254	"Zhang et al. 2007"	"RP"	"0 to 15"	"cultivated"	"temperate"	23	20	25	"22.5"	"1.43"	"equal-time"	"2.44"	"0.223"	"25.9"	"5.54"	"N"
62	254	"Zhang et al. 2007"	"RP"	"0 to 15"	"cultivated"	"temperate"	74	20	25	"22.5"	"1.65"	"equal-time"	"2.44"	"0.223"	"25.9"	"5.54"	"N"
62	254	"Zhang et al. 2007"	"RP"	"0 to 15"	"cultivated"	"temperate"	144	20	25	"22.5"	"2.09"	"equal-time"	"2.44"	"0.223"	"25.9"	"5.54"	"N"
